1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
9	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9906364679336548	http://www.dialog-21.ru/media/1745/24.pdf
10	dialogue_2013_3e089265b976d03ac2061a8d9597e413952c6c7d	ru	0.9901646375656128	http://www.dialog-21.ru/media/1284/rakhilinaev.pdf

14. 	dialogue_2006_500e96450545e5b1778ee12e7e83dd23945ace7c	ru	http://www.dialog-21.ru/media/1996/podlesskaya.pdf
1	dialogue_2013_60a42db6b8cc0c523f57938607f88b0398e153c3	ru	0.9919904470443726	http://www.dialog-21.ru/media/1281/podlesskayavi.pdf
2	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.9893331527709961	http://www.dialog-21.ru/media/1631/81.pdf
3	dialogue_2010_f88783641be7a02234e49ac66bf46b3220ecc034	ru	0.9886314868927002	http://www.dialog-21.ru/media/1683/58.pdf
4	dialogue_2007_47c995bec1a2901d124c9a25869b6b21eeaea113	ru	0.9885952472686768	http://www.dialog-21.ru/media/1878/57.pdf
5	dialogue_2000_3352dbdabf12fd3abe650ab78a69d3b33550a8f6	ru	0.9882216453552246	http://www.dialog-21.ru/digest/2000/articles/kalinina/
6	dialogue_2006_6ad16d2ada5861652fdddd84bceb41f65a248e21	ru	0.9882047176361084	http://www.dialog-21.ru/media/2010/tsukanova.pdf
7	dialogue_2014_248f976c27229a60b0d475e01d92bf388f9defcc	ru	0.9881851077079773	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PodlesskayaVI.pdf
8	dialogue_2013_725a6f6c0949db6a776b238748da29f50eff7bf7	ru	0.9880553483963013	http://www.dialog-21.ru/media/1280/piperskiach.pdf
9	dialogue_2017_f9f3b877cf88fbd84eb17c18e156d7940c72f7d6	ru	0.9878439903259277	http://www.dialog-21.ru/media/3939/podlesskayavi.pdf
10	dialogue_2005_1ae68659924ef38b839830024c70e9f5b4490794	ru	0.9877010583877563	http://www.dialog-21.ru/media/2359/brykina_m.pdf

15. 	dialogue_2006_0b84d340edc8c21225ced251746f5013078b5df3	ru	http://www.dialog-21.ru/media/1929/belikov.pdf
1	dialogue_2009_af411bd52e2f3cf5f1e024262af7e10ce3efab08	ru	0.9913486242294312	http://www.dialog-21.ru/media/1555/05.pdf
2	dialogue_2008_92dc674e50f5feacea9e19b58409a4d06a687146	ru	0.990287184715271	http://www.dialog-21.ru/media/1728/7.pdf
